Exercise Name,Category,Muscle Group,Beginner Sets,Beginner Reps,Beginner Weight (kg),Intermediate Weight (kg),Advanced Weight (kg)
Bench Press,Strength,Chest,3,12,20,40,80
Squat,Strength,Legs,3,12,30,60,120
Deadlift,Strength,Back,3,10,40,80,160
Overhead Press,Strength,Shoulders,3,10,20,35,60
Pull-ups,Strength,Back,3,8,0,0,0
Dumbbell Curls,Strength,Biceps,3,12,10,15,25
Lunges,Strength,Legs,3,10,15,25,40
Plank,Mobility,Core,3,30,0,0,0
Lat Pulldown,Strength,Back,3,10,30,50,80
Tricep Dips,Strength,Triceps,3,10,10,20,35
Barbell Rows,Strength,Back,3,12,25,50,80
Leg Press,Strength,Legs,3,12,50,90,150
Bicep Curls,Strength,Biceps,3,12,10,15,25
Push-ups,Strength,Chest,3,15,0,0,0
Cable Fly,Strength,Chest,3,10,15,30,50
Hamstring Curls,Strength,Legs,3,12,20,35,60
Seated Shoulder Press,Strength,Shoulders,3,10,15,30,50
Chest Fly,Strength,Chest,3,10,12,25,40
Treadmill Running,Cardio,Full Body,3,20,0,0,0
Cycling,Cardio,Legs,3,25,0,0,0
Calf Raises,Strength,Calves,3,15,10,25,50
Glute Bridges,Strength,Glutes,3,15,0,10,30
Face Pulls,Strength,Rear Delts,3,15,10,20,35
Side Lateral Raises,Strength,Shoulders,3,15,5,10,20
Romanian Deadlift,Strength,Hamstrings,3,10,25,50,90
Good Mornings,Strength,Hamstrings,3,10,15,30,50
Hyperextensions,Strength,Lower Back,3,12,0,10,25
Incline Dumbbell Press,Strength,Chest,3,12,15,30,50
Decline Bench Press,Strength,Chest,3,12,20,40,70
Cable Crossover,Strength,Chest,3,12,10,25,40
Preacher Curls,Strength,Biceps,3,12,10,20,35
Hammer Curls,Strength,Biceps,3,12,10,15,25
Close-Grip Bench Press,Strength,Triceps,3,10,20,40,70
Skull Crushers,Strength,Triceps,3,12,10,20,35
Dumbbell Rows,Strength,Back,3,12,15,30,50
T-Bar Row,Strength,Back,3,10,25,50,90
Seated Cable Row,Strength,Back,3,12,25,45,70
Hanging Leg Raises,Strength,Core,3,10,0,0,0
Russian Twists,Strength,Core,3,15,0,5,15
Box Jumps,Plyometrics,Legs,3,10,0,0,0
